Project_Id,ProjectName,City,State,Zipcode,Country,RatingSystem,PointsAchieved,CertLevel,CertDate,IsCertified,GrossFloorAreaSqm,ProjectTypes,waste_intensity,Waste Reduction %,Estimated Waste,Waste Savings
1000041700,CLC GMP1-GMP2,GRA,IL,60030,US,LEED-NC v2009,57,Silver,2024-08-01,Yes,21300.89,Core Learning Space: College/University,25,40,532522.25,21300890.0
1000045301,Elizabeth House III,SS,MD,20910,US,LEED-NC v2009,61,Gold,2024-07-11,Yes,20086.56,Multi-Family Residential: Apartment,60,50,1205193.6,60259680.0
1000045559,NZP Bird House Facility Renewal,WAS,DC,20008,US,LEED-NC v2009,62,Gold,2024-02-21,Yes,2847.94,Public Assembly: Other Assembly,60,50,170876.4,8543820.0
1000051846,Glenn County Courthouse,WIL,CA,95688,US,LEED-NC v2009,60,Gold,2024-05-22,Yes,5216.13,Office: Government,60,50,312967.8,15648390.0
1000052319,CONF,CON,CON,0,US,LEED-NC v2009,54,Silver,2024-01-26,Yes,56378.94,CONF,50,40,2818947.0,112757880.0
1000052529,UPJ Engineering - Science Building Reno,JOH,PA,15904,US,LEED-NC v2009,40,Certified,2024-06-12,Yes,6061.46,Core Learning Space: College/University,25,30,151536.5,4546095.0
1000052631,Holiday Inn and Suites,JOI,IL,60431,US,LEED-NC v2009,54,Silver,2024-01-16,Yes,10217.75,"Lodging: Hotel/Motel/Resort, Full Service",70,40,715242.5,28609700.0
1000053613,River Landing Residences,MIA,FL,33125,US,LEED-NC v2009,50,Silver,2024-03-29,Yes,95363.63,Multi-Family Residential: Apartment,60,40,5721817.8,228872712.0
1000054064,"Shasta County, New Redding Courthouse",RED,CA,96001,US,LEED-NC v2009,60,Gold,2024-08-19,Yes,14629.34,Other,50,50,731467.0,36573350.0
1000055676,VA Stockton CUP,FC,CA,95231,US,LEED-NC v2009,54,Silver,2024-07-09,Yes,836.5,Service: Other Service,50,40,41825.0,1673000.0
1000055677,VA Stockton CBOC,FC,CA,95231,US,LEED-NC v2009,67,Gold,2024-07-09,Yes,14051.76,Healthcare: Clinic/Other Outpatient,100,50,1405176.0,70258800.0
1000056941,CALVERT VAUX PARK COMFORT STATION,BRO,NY,11214,US,LEED-NC v2009,53,Silver,2024-07-15,Yes,307.97,Public Order and Safety: Other Public Order,50,40,15398.5,615940.0
1000057425,Loudoun County Juvenile Detention Center,LEE,VA,20175,US,LEED-NC v2009,61,Gold,2024-05-02,Yes,3316.64,Other,50,50,165832.0,8291600.0
1000058836,CONF,CON,CON,0,AE,LEED-NC v2009,46,Certified,2024-02-12,Yes,270321.07,CONF,50,30,13516053.5,405481605.0
1000059705,GM Design Center,WAR,MI,48909,US,LEED-NC v2009,41,Certified,2024-05-02,Yes,33445.08,Office: Administrative/Professional,60,30,2006704.8,60201144.0
1000061064,Sai Kung Hotel,HK,NT,850,HK,LEED-NC v2009,61,Gold,2024-02-28,Yes,17940.13,"Lodging: Hotel/Motel/Resort, Full Service",70,50,1255809.1,62790455.0
1000063098,WWRC Anderson Vocational Building,FIS,VA,22939,US,LEED-NC v2009,49,Certified,2024-07-10,Yes,10406.16,Core Learning Space: Other classroom education,25,30,260154.0,7804620.0
1000063509,Missoni Baia,MIA,FL,33137,US,LEED-NC v2009,52,Silver,2024-04-29,Yes,76855.86,Multi-Family Residential: Condominium,60,40,4611351.6,184454064.0
1000064718,Whitt Hall Renovation,RAD,VA,24142,US,LEED-NC v2009,60,Gold,2024-08-07,Yes,3045.36,Core Learning Space: College/University,25,50,76134.0,3806700.0
1000065115,HBS Production Base,CHA,HUN,410000,CN,LEED-NC v2009,66,Gold,2024-04-11,Yes,148833.95,Other,50,50,7441697.5,372084875.0
1000065117,HBS Art Museum,CHA,HUN,410000,CN,LEED-NC v2009,86,Platinum,2024-04-11,Yes,12073.58,Public Assembly: Museum,60,60,724414.8,43464888.0
1000065227,CONF,CON,CON,0,US,LEED-NC v2009,55,Silver,2024-12-26,Yes,37502.9,CONF,50,40,1875145.0,75005800.0
1000065546,Wertheim Laboratory Building,GAI,FL,32611,US,LEED v4 BD+C: NC,52,Silver,2024-02-07,Yes,7948.78,Core Learning Space: College/University,25,40,198719.5,7948780.0
1000065565,Clarendon West 1,ARL,VA,22201,US,LEED-NC v2009,63,Gold,2024-03-11,Yes,29447.0,Multi-Family Residential: Apartment,60,50,1766820.0,88341000.0
1000066926,Modera Rincon Hill,SF,CA,94404,US,LEED-NC v2009,57,Silver,2024-12-20,Yes,16519.73,Multi-Family Residential: Apartment,60,40,991183.8,39647352.0
1000068525,Amrita Institute of Medical Science,FAR,HAR,121002,IN,LEED-NC v2009,70,Gold,2024-08-20,Yes,393784.0,Healthcare: Inpatient,100,50,39378400.0,1968920000.0
1000068550,CONF,CON,CON,0,US,LEED-NC v2009,51,Silver,2024-09-17,Yes,17647.3,CONF,50,40,882365.0,35294600.0
1000068666,Sherborn Library Addition,SHE,MA,1770,US,LEED-NC v2009,44,Certified,2024-08-26,Yes,709.96,Public Assembly: Library,25,30,17749.0,532470.0
1000068761,IU Memorial Stadium Excellence Academy,BLO,IN,47408,US,LEED-NC v2009,60,Gold,2024-04-12,Yes,10816.05,Public Assembly: Stadium/Arena,100,50,1081605.0,54080250.0
1000068763,Four Seasons Hotel & Private Residences,NAS,TN,37201,US,LEED-NC v2009,63,Gold,2024-08-02,Yes,61169.01,Other,50,50,3058450.5,152922525.0
1000069108,Buddy Holly Hall of Performing Arts,LUB,TX,79401,US,LEED-NC v2009,45,Certified,2024-02-08,Yes,19881.24,Public Assembly: Entertainment,60,30,1192874.4,35786232.0
1000069449,Holden Hall - Virginia Tech,BLA,VA,24061,US,LEED-NC v2009,61,Gold,2024-03-08,Yes,9290.3,Core Learning Space: College/University,25,50,232257.5,11612875.0
1000069540,Virginia DBVI Headquarters Renovation,RIC,VA,23227,US,LEED-NC v2009,60,Gold,2024-04-25,Yes,1814.3,Office: Government,60,50,108858.0,5442900.0
1000069729,Aspen Melford Town Center,BOW,MD,20715,US,LEED-NC v2009,71,Gold,2024-07-16,Yes,41344.06,Multi-Family Residential: Apartment,60,50,2480643.6,124032180.0
1000070502,CONF,CON,CON,0,CN,LEED-NC v2009,61,Gold,2024-06-10,Yes,59197.35,CONF,50,50,2959867.5,147993375.0
1000070772,King County LOOP Fleet Facility,NB,WA,98045,US,LEED-NC v2009,81,Platinum,2024-05-28,Yes,1352.67,Service: Vehicle Storage/Maintenance,60,60,81160.2,4869612.0
1000070805,Student Services Center- LAMC,SYL,CA,91342,US,LEED v4 BD+C: NC,65,Gold,2024-03-13,Yes,5894.14,Core Learning Space: College/University,25,50,147353.5,7367675.0
1000071091,Harrison Albany Block Building 2,BOS,MA,2118,US,LEED-NC v2009,60,Gold,2024-01-12,Yes,28364.21,Multi-Family Residential: Apartment,60,50,1701852.6,85092630.0
1000073115,CONF,CON,CON,0,US,LEED-NC v2009,56,Silver,2024-03-19,Yes,2564.49,CONF,50,40,128224.5,5128980.0
1000073581,CONF,CON,CON,0,US,LEED-NC v2009,60,Gold,2024-03-05,Yes,6147.39,CONF,50,50,307369.5,15368475.0
1000074052,Chabot College Biological Sciences Annex,HAY,CA,94545,US,LEED-NC v2009,54,Silver,2024-04-01,Yes,1803.06,Core Learning Space: College/University,25,40,45076.5,1803060.0
1000074344,UVA - Gilmer Hall,CHA,VA,22904,US,LEED v4 BD+C: NC,55,Silver,2024-06-26,Yes,20624.47,Core Learning Space: College/University,25,40,515611.75,20624470.0
1000074436,City of Minneapolis ESS&MF,MIN,MN,55418,US,LEED-NC v2009,62,Gold,2024-11-18,Yes,18974.04,Service: Vehicle Storage/Maintenance,60,50,1138442.4,56922120.0
1000074440,Arsenal Yards Hampton Inn & Suites,WAT,MA,2472,US,LEED-NC v2009,51,Silver,2024-03-28,Yes,10124.1,"Lodging: Hotel/Motel/Resort, Full Service",70,40,708687.0,28347480.0
1000075239,Towson University Science Complex,TOW,MD,21252,US,LEED-NC v2009,66,Gold,2024-09-06,Yes,29627.14,Core Learning Space: College/University,25,50,740678.5,37033925.0
1000075504,Baoan Phase 3 WTE Power Plant,SHE,GUA,518000,CN,LEED-NC v2009,71,Gold,2024-03-04,Yes,10860.08,Office: Mixed-Use,60,50,651604.8,32580240.0
1000075550,SUNY Ambulatory Care Facility,SYR,NY,13210,US,LEED-NC v2009,60,Gold,2024-03-13,Yes,18910.78,Healthcare: Clinic/Other Outpatient,100,50,1891078.0,94553900.0
1000075790,Lewiston-Queenston Land Port of Entry,LEW,NY,14092,US,LEED v4 BD+C: NC,52,Silver,2024-04-04,Yes,4180.64,Service: Other Service,50,40,209032.0,8361280.0
1000077786,CNU -  Torggler Fine Art Center,NN,VA,23606,US,LEED-NC v2009,43,Certified,2024-05-15,Yes,8033.69,Core Learning Space: College/University,25,30,200842.25,6025267.5
1000078124,C-17 Fuel Cell Hangar Project,CHA,NC,28208,US,LEED-NC v2009,56,Silver,2024-01-11,Yes,5844.9,Service: Vehicle Storage/Maintenance,60,40,350694.0,14027760.0
1000078249,La MaMa Experimental Theater,NY,NY,10003,US,LEED-NC v2009,52,Silver,2024-01-09,Yes,819.87,Public Assembly: Entertainment,60,40,49192.2,1967688.0
1000078278,Port of Long Beach Fireboat Station 20,LB,CA,90801,US,LEED-NC v2009,64,Gold,2024-01-02,Yes,908.87,Public Order and Safety: Fire/Police Station,60,50,54532.2,2726610.0
1000078343,AF PN FJXT133000 DAFB Maintenance Hangar,DOV,DE,19902,US,LEED-NC v2009,58,Silver,2024-04-19,Yes,7709.37,Other,50,40,385468.5,15418740.0
1000078390,CONF,CON,CON,0,US,LEED v4 BD+C: NC,86,Platinum,2024-07-15,Yes,78342.22,CONF,50,60,3917111.0,235026660.0
1000078903,South County Police St & Animal Shelter,FAI,VA,22035,US,LEED-NC v2009,52,Silver,2024-12-05,Yes,4882.8,Public Order and Safety: Fire/Police Station,60,40,292968.0,11718720.0
1000080765,CONF,CON,CON,0,US,LEED-NC v2009,41,Certified,2024-04-23,Yes,67447.58,CONF,50,30,3372379.0,101171370.0
1000080871,Sterling Park Safety Center,STE,VA,20175,US,LEED-NC v2009,69,Gold,2024-10-22,Yes,2171.33,Public Order and Safety: Fire/Police Station,60,50,130279.8,6513990.0
1000081685,Missile Maintenance Dispatch Facility,MAL,MT,59402,US,LEED-NC v2009,50,Silver,2024-01-11,Yes,3897.75,Public Order and Safety: Other Public Order,50,40,194887.5,7795500.0
1000083476,Winthrop Center Residences,BOS,MA,2110,US,LEED-NC v2009,64,Gold,2024-06-17,Yes,60386.95,Multi-Family Residential: Condominium,60,50,3623217.0,181160850.0
1000085478,Miami-Dade Fire Rescue Fire Station 29,SWE,FL,33174,US,LEED-NC v2009,53,Silver,2024-10-24,Yes,1056.31,Public Order and Safety: Fire/Police Station,60,40,63378.6,2535144.0
1000085523,W&M Fine & Performing Arts Center,WIL,VA,23185,US,LEED-NC v2009,53,Silver,2024-08-29,Yes,14877.39,Core Learning Space: College/University,25,40,371934.75,14877390.0
1000085744,UCSD Marine Conservation & Tech Facility,LJ,CA,92037,US,LEED-NC v2009,68,Gold,2024-06-17,Yes,3237.76,Core Learning Space: College/University,25,50,80944.0,4047200.0
1000087076,CCL - B1,CC,MD,20815,US,LEED-NC v2009,52,Silver,2024-01-23,Yes,23132.85,Multi-Family Residential: Apartment,60,40,1387971.0,55518840.0
1000087533,Towson University Union,TOW,MD,21252,US,LEED-NC v2009,62,Gold,2024-03-29,Yes,23750.65,Core Learning Space: College/University,25,50,593766.25,29688312.5
1000087548,CONF,CON,CON,0,US,LEED-NC v2009,50,Silver,2024-01-23,Yes,8095.66,CONF,50,40,404783.0,16191320.0
1000087812,CONF,CON,CON,0,US,LEED v4 BD+C: NC,51,Silver,2024-10-04,Yes,10219.33,CONF,50,40,510966.5,20438660.0
1000088097,CONF,CON,CON,0,AE,LEED-NC v2009,63,Gold,2024-12-27,Yes,1896.61,CONF,50,50,94830.5,4741525.0
1000088354,H Building Allianz,TRI,TS,34121,IT,LEED-NC v2009,58,Silver,2024-08-29,Yes,36217.0,Office: Mixed-Use,60,40,2173020.0,86920800.0
1000088508,Camp Rilea B7116,WAR,OR,97146,US,LEED-NC v2009,40,Certified,2024-01-09,Yes,3112.25,Other,50,30,155612.5,4668375.0
1000090500,Heliport,FAI,VA,22030,US,LEED-NC v2009,54,Silver,2024-01-28,Yes,1506.05,Public Order and Safety: Fire/Police Station,60,40,90363.0,3614520.0
1000090599,JHU - Applied Physics Laboratory B201,LAU,MD,20723,US,LEED-NC v2009,56,Silver,2024-02-29,Yes,24433.49,Laboratory,100,40,2443349.0,97733960.0
1000092493,CONF,CON,CON,0,US,LEED-NC v2009,63,Gold,2024-08-29,Yes,0.0,CONF,50,50,0.0,0.0
1000092882,Orlando Wetlands Park Operations Center,CHR,FL,32709,US,LEED-NC v2009,64,Gold,2024-08-22,Yes,623.66,Other,50,50,31183.0,1559150.0
1000093087,Engine 37 Expansion,PHI,PA,19118,US,LEED v4 BD+C: NC,60,Gold,2024-11-07,Yes,1005.95,Public Order and Safety: Fire/Police Station,60,50,60357.0,3017850.0
1000093749,WRHC Building F Renovation,PAL,IL,60067,US,LEED-NC v2009,48,Certified,2024-10-23,Yes,9948.05,Core Learning Space: College/University,25,30,248701.25,7461037.5
1000094413,URBA,ARL,VA,22203,US,LEED-NC v2009,51,Silver,2024-05-03,Yes,35667.78,Multi-Family Residential: Apartment,60,40,2140066.8,85602672.0
1000095778,Newburyport Crossing - One Boston Way,NEW,MA,1950,US,LEED-NC v2009,52,Silver,2024-02-14,Yes,8069.74,Multi-Family Residential: Apartment,60,40,484184.4,19367376.0
1000096139,Delta Electronics India Pvt. Ltd.,BAN,KAR,562158,IN,LEED v4 BD+C: NC,73,Gold,2024-09-04,Yes,40716.04,Office: Other Office,60,50,2442962.4,122148120.0
1000098959,Istanbul Museum of Modern Art,IST,IST,34433,TR,LEED v4 BD+C: NC,65,Gold,2024-07-24,Yes,15479.78,Public Assembly: Social/Meeting,60,50,928786.8,46439340.0
1000099321,Oyak Dragos - A Block,IST,IST,34846,TR,LEED v4 BD+C: NC,62,Gold,2024-03-13,Yes,33500.0,Multi-Family Residential: Apartment,60,50,2010000.0,100500000.0
1000099323,Oyak Dragos - B Block,IST,IST,34846,TR,LEED v4 BD+C: NC,62,Gold,2024-06-24,Yes,26670.0,Multi-Family Residential: Apartment,60,50,1600200.0,80010000.0
1000099449,Sylvia H. Rambo United States Courthouse,HAR,PA,17102,US,LEED v4 BD+C: NC,63,Gold,2024-01-22,Yes,22561.12,Office: Government,60,50,1353667.2,67683360.0
1000099502,AnantaraMinaAlArabRAKResort-MainB&RiyadB,RAK,AE,0,AE,LEED-NC v2009,62,Gold,2024-07-04,Yes,25495.95,"Lodging: Hotel/Motel/Resort, Full Service",70,50,1784716.5,89235825.0
1000099506,JMU - Dukes Dining,HAR,VA,22807,US,LEED v4 BD+C: NC,44,Certified,2024-07-10,Yes,3451.53,Retail: Restaurant/Cafeteria,35,30,120803.55,3624106.5
1000099539,CONF,CON,CON,0,CN,LEED v4 BD+C: NC,60,Gold,2024-09-29,Yes,288713.17,CONF,50,50,14435658.5,721782925.0
1000099638,CONF,CON,CON,0,US,LEED v4 BD+C: NC,51,Silver,2024-08-26,Yes,23597.36,CONF,50,40,1179868.0,47194720.0
1000099673,Pittsburgh Yards,ATL,GA,30310,US,LEED v4 BD+C: NC,44,Certified,2024-12-12,Yes,5665.22,Office: Other Office,60,30,339913.2,10197396.0
1000100234,FS6 & FTC - Building 1 & 2,HAY,CA,94545,US,LEED v4 BD+C: NC,56,Silver,2024-03-14,Yes,2787.09,Public Order and Safety: Fire/Police Station,60,40,167225.4,6689016.0
1000100546,WAG - Inuit Art Centre Addition,WIN,MB,0,CA,LEED v4 BD+C: NC,46,Certified,2024-01-09,Yes,3367.0,Public Assembly: Other Assembly,60,30,202020.0,6060600.0
1000100613,University of Calgary MacKimmie Complex,CAL,AB,0,CA,LEED v4 BD+C: NC,84,Platinum,2024-05-10,Yes,33568.0,Office: Administrative/Professional,60,60,2014080.0,120844800.0
1000101896,Ko'ula,HON,HI,96814,US,LEED v4 BD+C: NC,64,Gold,2024-11-11,Yes,66971.91,Multi-Family Residential: Condominium,60,50,4018314.6,200915730.0
1000103118,U.S. DOT Volpe Exchange Project,CAM,MA,2142,US,LEED v4 BD+C: NC,80,Platinum,2024-08-20,Yes,52583.38,Office: Government,60,60,3155002.8,189300168.0
1000103264,SEA International Arrivals Facility,SEA,WA,98158,US,LEED v4 BD+C: NC,51,Silver,2024-07-12,Yes,31587.02,Other,50,40,1579351.0,63174040.0
1000103365,CONF,CON,CON,0,IT,LEED v4 BD+C: NC,64,Gold,2024-11-05,Yes,9049.0,CONF,50,50,452450.0,22622500.0
1000103869,UCLA Southwest Campus Apartments,LA,CA,90024,US,LEED v4 BD+C: NC,62,Gold,2024-05-10,Yes,54345.0,Lodging: Dormitory,70,50,3804150.0,190207500.0
1000103925,Ovation Apartments,SEA,WA,98101,US,LEED v4 BD+C: NC,53,Silver,2024-02-14,Yes,50364.11,Multi-Family Residential: Apartment,60,40,3021846.6,120873864.0
1000104109,UCDH Eye Center Addition,SAC,CA,95817,US,LEED v4 BD+C: NC,61,Gold,2024-01-26,Yes,6002.0,Healthcare: Clinic/Other Outpatient,100,50,600200.0,30010000.0
1000104125,Bramalea GO Station,BRA,ON,0,CA,LEED v4 BD+C: NC,61,Gold,2024-04-08,Yes,1500.0,Transit: Station/Elevated,100,50,150000.0,7500000.0
1000104142,UVA - Bond House,CHA,VA,22903,US,LEED v4 BD+C: NC,52,Silver,2024-12-31,Yes,18580.6,Lodging: Dormitory,70,40,1300642.0,52025680.0
1000104206,CSU Chico Science Building,CHI,CA,95929,US,LEED v4 BD+C: NC,56,Silver,2024-08-20,Yes,10219.33,Core Learning Space: College/University,25,40,255483.25,10219330.0
1000105074,Makers Rise,HER,VA,20171,US,LEED v4 BD+C: NC,43,Certified,2024-01-09,Yes,37070.25,Multi-Family Residential: Apartment,60,30,2224215.0,66726450.0
1000105198,Yards - Parcel I,WAS,DC,20003,US,LEED v4 BD+C: NC,52,Silver,2024-10-30,Yes,37163.52,Multi-Family Residential: Apartment,60,40,2229811.2,89192448.0
1000105226,ARMY PN86877 AFH090 Family Towers,PYE,KYO,17979,KR,LEED v4 BD+C: NC,62,Gold,2024-09-12,Yes,56298.0,Multi-Family Residential: Apartment,60,50,3377880.0,168894000.0
1000105276,Diablo Valley College Arts Complex,PH,CA,94523,US,LEED v4 BD+C: NC,68,Gold,2024-07-02,Yes,3128.32,Core Learning Space: College/University,25,50,78208.0,3910400.0
1000105304,CONF,CON,CON,0,IT,LEED v4 BD+C: NC,65,Gold,2024-02-05,Yes,5567.0,CONF,50,50,278350.0,13917500.0
1000105372,Manitou a bi Bii daziigae,WIN,MB,0,CA,LEED v4 BD+C: NC,64,Gold,2024-10-16,Yes,11052.0,Core Learning Space: College/University,25,50,276300.0,13815000.0
1000105401,Nicholson Tower,ANT,NS,0,CA,LEED v4 BD+C: NC,57,Silver,2024-06-19,Yes,4027.0,Office: Administrative/Professional,60,40,241620.0,9664800.0
1000105461,MTL-Centre aquatique Rosemont,MON,QC,0,CA,LEED v4 BD+C: NC,61,Gold,2024-06-06,Yes,6765.0,Public Assembly: Other Assembly,60,50,405900.0,20295000.0
1000105781,Istanbul Universitesi AUZEF Binasi,IST,IST,34320,TR,LEED v4 BD+C: NC,59,Silver,2024-06-03,Yes,6848.0,Public Assembly: Other Assembly,60,40,410880.0,16435200.0
1000105885,Cambridge Crossing - Park 151,CAM,MA,2141,US,LEED v4 BD+C: NC,63,Gold,2024-07-16,Yes,40338.48,Multi-Family Residential: Apartment,60,50,2420308.8,121015440.0
1000106028,Laserfiche,LB,CA,90807,US,LEED v4 BD+C: NC,59,Silver,2024-05-14,Yes,9290.3,Office: Administrative/Professional,60,40,557418.0,22296720.0
1000106369,UPMC Vision And Rehabilitation Hospital,PIT,PA,15219,US,LEED v4 BD+C: NC,47,Certified,2024-05-21,Yes,39282.18,Healthcare: Clinic/Other Outpatient,100,30,3928218.0,117846540.0
1000106432,Borgen Precourt Center for Sustainabilit,AVO,CO,81620,US,LEED v4 BD+C: NC,40,Certified,2024-02-20,Yes,721.11,Office: Other Office,60,30,43266.6,1297998.0
1000106487,Poste de la SQ Beauce-Sartigan,SDB,QC,0,CA,LEED v4 BD+C: NC,40,Certified,2024-01-15,Yes,1916.0,Public Order and Safety: Fire/Police Station,60,30,114960.0,3448800.0
1000106506,Lynnwood City Center,LYN,WA,98036,US,LEED v4 BD+C: NC,61,Gold,2024-06-25,Yes,1641.6,Transit: Station/Elevated,100,50,164160.0,8208000.0
1000106759,280 Park Avenue,NY,NY,10019,US,LEED v4 O+M: EB,60,Gold,2024-09-10,Yes,117541.25,Office: Mixed-Use,60,50,7052475.0,352623750.0
1000106799,PE & K Renovation,SP,CA,94806,US,LEED v4 BD+C: NC,53,Silver,2024-03-14,Yes,5921.17,Core Learning Space: College/University,25,40,148029.25,5921170.0
1000106828,Saint Vincent College Library,LAT,PA,15650,US,LEED v4 BD+C: NC,43,Certified,2024-06-14,Yes,4954.05,Core Learning Space: College/University,25,30,123851.25,3715537.5
1000106835,Yale Peabody Museum of Natural History,NH,CT,6511,US,LEED v4 BD+C: NC,61,Gold,2024-07-29,Yes,13099.32,Public Assembly: Other Assembly,60,50,785959.2,39297960.0
1000106921,DEN Airport Concourse A West Expansion,DEN,CO,80249,US,LEED v4 BD+C: NC,80,Platinum,2024-09-26,Yes,45250.73,Airport: Terminal/Concourse,100,60,4525073.0,271504380.0
1000107162,William and Linda Frost Center,SLO,CA,93407,US,LEED v4 BD+C: NC,68,Gold,2024-09-30,Yes,9816.13,Core Learning Space: College/University,25,50,245403.25,12270162.5
1000107173,CONF,CON,CON,0,ES,LEED v4 BD+C: NC,41,Certified,2024-01-17,Yes,798.0,CONF,50,30,39900.0,1197000.0
1000107660,Rane Culinary Science Center,AUB,AL,36830,US,LEED v4 BD+C: NC,50,Silver,2024-03-05,Yes,13201.14,Core Learning Space: College/University,25,40,330028.5,13201140.0
1000107702,Central Bank Center,LEX,KY,40507,US,LEED v4 BD+C: NC,52,Silver,2024-05-07,Yes,35352.1,Public Assembly: Convention Center,60,40,2121126.0,84845040.0
1000107703,Pavilion at the Central Bank Center,LEX,KY,40507,US,LEED v4 BD+C: NC,48,Certified,2024-05-07,Yes,5611.06,Public Assembly: Convention Center,60,30,336663.6,10099908.0
1000108028,Southeast Community Center,SF,CA,94124,US,LEED v4 BD+C: NC,71,Gold,2024-02-06,Yes,4645.15,Public Assembly: Social/Meeting,60,50,278709.0,13935450.0
1000108048,Dartmouth Anonymous Hall,HAN,NH,3755,US,LEED v4 BD+C: NC,72,Gold,2024-08-23,Yes,3158.7,Core Learning Space: College/University,25,50,78967.5,3948375.0
1000108083,Agincourt GO Station,TOR,ON,0,CA,LEED v4 BD+C: NC,63,Gold,2024-04-18,Yes,847.0,Transit: Station/Underground,100,50,84700.0,4235000.0
1000108087,UC Calhoun Hall,CIN,OH,45219,US,LEED v4 BD+C: NC,55,Silver,2024-03-01,Yes,15410.29,Lodging: Dormitory,70,40,1078720.3,43148812.0
1000108108,LAX APM Maintenance & Storage Facility,LA,CA,90045,US,LEED v4 BD+C: NC,84,Platinum,2024-11-26,Yes,8677.14,Transit: Maintenance/Storage,100,60,867714.0,52062840.0
1000108110,210 Route 4 East,PAR,NJ,7652,US,LEED v4 O+M: EB,57,Silver,2024-01-26,Yes,11891.58,Office: Mixed-Use,60,40,713494.8,28539792.0
1000108133,CONF,CON,CON,0,US,LEED v4 BD+C: NC,40,Certified,2024-02-01,Yes,4542.96,CONF,50,30,227148.0,6814440.0
1000108153,Cheko'nien House,VIC,BC,0,CA,LEED v4 BD+C: NC,61,Gold,2024-06-17,Yes,175946.7094,Lodging: Dormitory,70,50,12316269.66,615813482.9
1000108294,Kenyon College Oden Hall,GAM,OH,43022,US,LEED v4 BD+C: NC,53,Silver,2024-01-05,Yes,4104.73,Core Learning Space: College/University,25,40,102618.25,4104730.0
1000108878,Autumn Grove Lodge,INN,AB,0,CA,LEED v4 BD+C: NC,51,Silver,2024-01-24,Yes,7802.0,Lodging: Other lodging,70,40,546140.0,21845600.0
1000109218,CONF,CON,CON,0,US,LEED v4 BD+C: NC,60,Gold,2024-10-17,Yes,6941.15,CONF,50,50,347057.5,17352875.0
